sep=;
ID;Description;weight-gr;Type;Color;Size;Price;EU 1st item;EU additional;near-EU 1st item;near-EU additional;wwide 1st item;ww additional
671;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (White / S);133.2;Apparel;White;S;12.16;5;0.75;8;1;10;1.2
672;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Black / S);133.2;Apparel;Black;S;12.16;5;0.75;8;1;10;1.2
673;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Ash / S);133.2;Apparel;Ash;S;12.16;5;0.75;8;1;10;1.2
674;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Cardinal Red / S);133.2;Apparel;Cardinal Red;S;12.16;5;0.75;8;1;10;1.2
675;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Carolina Blue / S);133.2;Apparel;Carolina Blue;S;12.16;5;0.75;8;1;10;1.2
677;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Navy / S);133.2;Apparel;Navy;S;12.16;5;0.75;8;1;10;1.2
679;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Purple / S);133.2;Apparel;Purple;S;12.16;5;0.75;8;1;10;1.2
680;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Red / S);133.2;Apparel;Red;S;12.16;5;0.75;8;1;10;1.2
682;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Sport Grey / S);133.2;Apparel;Sport Grey;S;12.16;5;0.75;8;1;10;1.2
683;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (White / M);153.1;Apparel;White;M;12.16;5;0.75;8;1;10;1.2
684;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Black / M);153.1;Apparel;Black;M;12.16;5;0.75;8;1;10;1.2
685;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Ash / M);153.1;Apparel;Ash;M;12.16;5;0.75;8;1;10;1.2
686;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Cardinal Red / M);153.1;Apparel;Cardinal Red;M;12.16;5;0.75;8;1;10;1.2
687;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Carolina Blue / M);153.1;Apparel;Carolina Blue;M;12.16;5;0.75;8;1;10;1.2
689;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Navy / M);153.1;Apparel;Navy;M;12.16;5;0.75;8;1;10;1.2
691;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Purple / M);153.1;Apparel;Purple;M;12.16;5;0.75;8;1;10;1.2
692;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Red / M);153.1;Apparel;Red;M;12.16;5;0.75;8;1;10;1.2
694;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Sport Grey / M);153.1;Apparel;Sport Grey;M;12.16;5;0.75;8;1;10;1.2
695;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (White / L);167.3;Apparel;White;L;12.16;5;0.75;8;1;10;1.2
696;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Black / L);167.3;Apparel;Black;L;12.16;5;0.75;8;1;10;1.2
697;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Ash / L);167.3;Apparel;Ash;L;12.16;5;0.75;8;1;10;1.2
698;Gildan 2200 Ultra Cotton Tank Top with Tear Away Label (Cardinal Red / L);167.3;Apparel;Cardinal Red;L;12.16;5;0.75;8;1;10;1.2
