sep=;
ID;Description;weight-gr;Type;Color;Size;Price;shipping
14;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / XS);113.4;Apparel;Asphalt;XS;12.64;8
16;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / XS);113.4;Apparel;Black;XS;12.64;8
22;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / XS);113.4;Apparel;Cranberry;XS;12.64;8
28;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / XS);113.4;Apparel;Forest;XS;12.64;8
30;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / XS);113.4;Apparel;Fuchsia;XS;12.64;8
34;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / XS);113.4;Apparel;Grass;XS;12.64;8
36;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / XS);113.4;Apparel;Heather Grey;XS;12.64;8
38;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / XS);113.4;Apparel;Kelly Green;XS;12.64;8
46;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / XS);113.4;Apparel;Navy;XS;12.64;8
48;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / XS);113.4;Apparel;Olive;XS;12.64;8
50;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / XS);113.4;Apparel;Orange;XS;12.64;8
54;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / XS);113.4;Apparel;Red;XS;12.64;8
56;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / XS);113.4;Apparel;Royal Blue;XS;12.64;8
60;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / XS);113.4;Apparel;New Silver;XS;12.64;8
62;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / XS);113.4;Apparel;Slate;XS;12.64;8
64;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / XS);113.4;Apparel;Teal;XS;12.64;8
68;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / XS);113.4;Apparel;White;XS;12.16;8
76;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / S);127.57;Apparel;Asphalt;S;12.64;8
78;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / S);127.57;Apparel;Black;S;12.64;8
84;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / S);127.57;Apparel;Cranberry;S;12.64;8
90;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / S);127.57;Apparel;Forest;S;12.64;8
92;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / S);127.57;Apparel;Fuchsia;S;12.64;8
96;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / S);127.57;Apparel;Grass;S;12.64;8
98;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / S);127.57;Apparel;Heather Grey;S;12.64;8
100;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / S);127.57;Apparel;Kelly Green;S;12.64;8
108;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / S);127.57;Apparel;Navy;S;12.64;8
110;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / S);127.57;Apparel;Olive;S;12.64;8
112;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / S);127.57;Apparel;Orange;S;12.64;8
116;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / S);170.1;Apparel;Red;S;12.64;8
118;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / S);127.57;Apparel;Royal Blue;S;12.64;8
122;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / S);127.57;Apparel;New Silver;S;12.64;8
124;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / S);127.57;Apparel;Slate;S;12.64;8
126;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / S);127.57;Apparel;Teal;S;12.64;8
130;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / S);127.57;Apparel;White;S;12.16;8
138;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / M);147.42;Apparel;Asphalt;M;12.64;8
140;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / M);148.83;Apparel;Black;M;12.64;8
146;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / M);147.42;Apparel;Cranberry;M;12.64;8
152;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / M);147.42;Apparel;Forest;M;12.64;8
154;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / M);147.42;Apparel;Fuchsia;M;12.64;8
158;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / M);148.83;Apparel;Grass;M;12.64;8
160;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / M);148.83;Apparel;Heather Grey;M;12.64;8
162;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / M);147.42;Apparel;Kelly Green;M;12.64;8
170;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / M);147.42;Apparel;Navy;M;12.64;8
172;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / M);148.83;Apparel;Olive;M;12.64;8
174;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / M);147.42;Apparel;Orange;M;12.64;8
178;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / M);148.83;Apparel;Red;M;12.64;8
180;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / M);148.83;Apparel;Royal Blue;M;12.64;8
184;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / M);148.83;Apparel;New Silver;M;12.64;8
186;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / M);148.83;Apparel;Slate;M;12.64;8
188;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Teal / M);148.83;Apparel;Teal;M;12.64;8
192;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (White / M);148.83;Apparel;White;M;12.16;8
200;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Asphalt / L);184.27;Apparel;Asphalt;L;12.64;8
202;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Black / L);184.27;Apparel;Black;L;12.64;8
208;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Cranberry / L);184.27;Apparel;Cranberry;L;12.64;8
214;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Forest / L);184.27;Apparel;Forest;L;12.64;8
216;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Fuchsia / L);184.27;Apparel;Fuchsia;L;12.64;8
220;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Grass / L);184.27;Apparel;Grass;L;12.64;8
222;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Heather Grey / L);184.27;Apparel;Heather Grey;L;12.64;8
224;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Kelly Green / L);184.27;Apparel;Kelly Green;L;12.64;8
232;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Navy / L);184.27;Apparel;Navy;L;12.64;8
234;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Olive / L);184.27;Apparel;Olive;L;12.64;8
236;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Orange / L);184.27;Apparel;Orange;L;12.64;8
240;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Red / L);184.27;Apparel;Red;L;12.64;8
242;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Royal Blue / L);184.27;Apparel;Royal Blue;L;12.64;8
246;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (New Silver / L);184.27;Apparel;New Silver;L;12.64;8
248;European Apparel 2001 Unisex Fine Jersey Short Sleeve Men T-Shirt (Slate / L);184.27;Apparel;Slate;L;12.64;8
